2026-06-29 10:03:22,014 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna coklat dengan kuning.png
2026-06-29 10:03:22,033 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna coklat dengan kuning.png
2026-06-29 10:03:22,046 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Skutellum ada.png
2026-06-29 10:03:22,046 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Skutellum ada.png
2026-06-29 10:03:22,077 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Skutellum tidak ada.png
2026-06-29 10:03:22,077 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Skutellum tidak ada.png
2026-06-29 10:03:22,093 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Pigidium tidak ada.png
2026-06-29 10:03:22,109 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Pigidium tidak ada.png
2026-06-29 10:03:22,125 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Pigidium ada.png
2026-06-29 10:03:22,125 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Pigidium ada.png
2026-06-29 10:03:22,125 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna Pigidium hitam.png
2026-06-29 10:03:22,144 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna Pigidium hitam.png
2026-06-29 10:03:22,156 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna Pigidium coklat.png
2026-06-29 10:03:22,156 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna Pigidium coklat.png
2026-06-29 10:03:22,156 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Warna Pigidium kuning.png
2026-06-29 10:03:22,174 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Warna Pigidium kuning.png
2026-06-29 10:03:22,191 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Bentuk tubuh bulat.png
2026-06-29 10:03:22,204 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Bentuk tubuh bulat.png
2026-06-29 10:03:22,204 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Bentuk tubuh tebal.png
2026-06-29 10:03:22,220 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Bentuk tubuh sejajar.png
